platkey,platName
0,1rx.io
1,33across.com
3,ad-generation.jp
4,adcolony.com
5,admanmedia.com
6,adswizz.com
7,adtech.com
9,advangelists.com
10,advertising.com
12,adyoulike.com
13,amxrtb.com
15,aol.com
16,aolcloud.net
17,appnexus.com
19,aps.amazon.com
20,arkadium.com
21,axonix.com
22,beachfront.com
23,behave.com
24,bidmachine.io
25,blis.com
26,connatix.com
27,contextweb.com
28,conversantmedia.com
29,criteo.com
31,districtm.io
32,emxdgt.com
33,exponential.com
34,freewheel.tv
35,google.com
37,gumgum.com
38,improvedigital.com
40,indexexchange.com
42,inmobi.com
43,ligit.com
44,lijit.com
46,liveintent.com
47,lkqd.net
48,loopme.com
49,mcclatchy.com
50,media.net
52,mintegral.com
53,minutemedia.com
54,mobilefuse.com
55,my6sense.com
56,nativo.com
58,nobid.io
59,onetag.com
60,openx.com
62,pokkt.com
63,pubmatic.com
65,pubnative.net
66,rhythmone.com
68,risecodes.com
69,rubiconproject.com
71,sharethrough.com
73,smaato.com
75,smartadserver.com
77,sonobi.com
78,sovrn.com
80,spotx.tv
82,spotxchange.com
84,springserve.com
85,startapp.com
86,stnvideo.com
87,synacor.com
89,taboola.com
90,targetspot.com
91,teads.tv
92,telaria.com
93,themediagrid.com
95,tremorhub.com
96,tribalfusion.com
97,triplelift.com
99,tritondigital.com
100,vhbx.co
101,video.unrulymedia.com
103,vindicosuite.com
104,wunderkind.co
105,xad.com
106,yahoo.com
108,yieldmo.com
122,aralego.com
136,mobileadtrading.com
148,somoaudience.com
154,ssp.ynxs.io
161,theglobeandmail.com
167,trustx.org
168,ucfunnel.com
180,amazon-adsystem.com
181,aniview.com
189,blockthrough.com
191,consumable.com
198,distroscale.com
201,facebook.com
210,juicenectar.com
224,revcontent.com
241,supply.colossusssp.com
243,t.brand-server.com
260,yumenetworks.com
264,adform.com
265,adiiix.com
266,adingo.jp
274,aerserv.com
275,altitude-arena.com
277,anyclip-media.com
278,anyclip.com
280,applovin.com
286,audience.media
290,bidtellect.com
296,coxmt.com
299,e-planning.net
302,engagebdr.com
308,groundtruth.com
315,infolinks.com
316,insticator.com
317,lemmatechnologies.com
323,madhive.com
326,mediabong.com
327,mediago.io
332,originmedia.tv
333,outbrain.com
338,richaudience.com
341,saambaa.com
348,smartyads.com
366,townnews.com
372,tvp.tv
374,undertone.com
378,vizio.com
379,voicemediagroup.com
380,wideorbit.com
381,wowyow.com
382,xandr.com
383,xumo.tv
387,yieldnexus.com
394,admixer.net
404,amazon.com
418,avantisvideo.com
421,bidfluence.com
423,carambo.la
424,cedato.com
426,chocolateplatform.com
434,cosmoshq.com
437,criteo.net
438,didna.io
450,fyber.com
473,memevideoad.com
474,mobfox.com
477,nativeads.com
479,novoroll.com
493,rtbhouse.com
497,sekindo.com
504,smartclip.net
514,spoutable.com
535,valo.ai
536,valueclickmedia.com
537,vdopia.com
539,vi.ai
540,vidazoo.com
544,wibbitz.com
549,yieldlab.net
550,yieldlift.com
555,4dsply.com
556,9mediaonline.com
576,blutonic.com
577,brightcom.com
586,deepintent.com
607,lkqd.com
611,lockerdome.com
616,mgid.com
619,nextmillennium.io
621,ogury.com
627,publir.com
633,rockyou.com
634,rockyou.net
651,ssp.e-volution.ai
653,streamrail.net
664,vertamedia.com
671,yldbt.com
749,adfrontiers.com
752,adpone.com
758,agencyorquidea.com
768,atemda.com
772,btrll.com
773,c.amazon-adsystem.com
774,c1exchange.com
790,imonomy.com
794,jadserve.postrelease.com
797,liqwid.com
800,media.adfrontiers.com
804,omnijay.com
808,pixfuture.com
810,q1connect.com
833,vertoz.com
