pubKey,platkey,relType,idCnt
0,0,DIRECT,2
4004,0,RESELLER,1
11643,0,DIRECT,2
13738,0,DIRECT,2
14815,0,DIRECT,2
16259,0,DIRECT,2
21279,0,RESELLER,1
22129,0,DIRECT,2
23350,0,DIRECT,2
25279,0,RESELLER,1
32745,0,RESELLER,1
37477,0,RESELLER,1
40571,0,RESELLER,1
47859,0,RESELLER,1
48477,0,RESELLER,1
51444,0,RESELLER,1
52434,0,DIRECT,2
53232,0,RESELLER,1
56529,0,DIRECT,2
58013,0,RESELLER,1
58888,0,DIRECT,2
65134,0,RESELLER,1
66779,0,RESELLER,1
67409,0,RESELLER,1
68131,0,RESELLER,1
68734,0,RESELLER,1
71049,0,RESELLER,1
72575,0,RESELLER,1
73518,0,RESELLER,1
73956,0,DIRECT,2
74066,0,RESELLER,1
74484,0,DIRECT,2
77360,0,DIRECT,1
77596,0,RESELLER,1
81372,0,DIRECT,2
83522,0,RESELLER,1
84489,0,RESELLER,1
86499,0,DIRECT,2
86609,0,DIRECT,2
87966,0,DIRECT,2
88076,0,RESELLER,1
94658,0,RESELLER,1
94922,0,DIRECT,2
98983,0,DIRECT,2
99268,0,RESELLER,1
103729,0,DIRECT,2
104417,0,RESELLER,1
104887,0,RESELLER,1
105411,0,DIRECT,2
108086,0,DIRECT,2
112122,0,RESELLER,1
114711,0,DIRECT,2
120324,0,RESELLER,1
121076,0,RESELLER,1
121928,0,DIRECT,2
122747,0,RESELLER,1
131603,0,RESELLER,1
132572,0,DIRECT,1
133235,0,RESELLER,1
134912,0,RESELLER,1
138448,0,DIRECT,1
139893,0,DIRECT,1
143157,0,RESELLER,1
144150,0,RESELLER,1
145302,0,RESELLER,1
145889,0,DIRECT,2
147509,0,RESELLER,1
147783,0,DIRECT,2
152008,0,RESELLER,1
152790,0,DIRECT,3
153997,0,RESELLER,1
157054,0,RESELLER,1
157670,0,DIRECT,2
160074,0,RESELLER,1
164159,0,RESELLER,1
164516,0,RESELLER,1
166197,0,RESELLER,1
166559,0,RESELLER,1
170155,0,DIRECT,2
170653,0,RESELLER,1
0,1,DIRECT,1
0,1,RESELLER,2
174,1,RESELLER,1
261,1,DIRECT,4
261,1,RESELLER,3
388,1,DIRECT,5
388,1,RESELLER,6
553,1,DIRECT,2
553,1,RESELLER,2
745,1,DIRECT,4
745,1,RESELLER,3
840,1,DIRECT,1
840,1,RESELLER,1
918,1,DIRECT,4
918,1,RESELLER,5
1007,1,DIRECT,3
1007,1,RESELLER,5
